GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Uverify Backend,io.uverify.backend.dto,UserState,108,19,22,0,1,3,17,4,6,4
Uverify Backend,io.uverify.backend.dto,CertificateData.CertificateDataBuilder,8,28,0,0,0,1,1,5,1,5
Uverify Backend,io.uverify.backend.dto,BootstrapData.BootstrapDataBuilder,27,65,0,0,0,1,2,10,2,10
Uverify Backend,io.uverify.backend.dto,UserActionResponse,265,80,62,0,0,11,35,17,4,17
Uverify Backend,io.uverify.backend.dto,ExecuteUserActionResponse,182,31,38,0,1,5,27,6,8,6
Uverify Backend,io.uverify.backend.dto,ProxyInitResponse.ProxyInitResponseBuilder,46,0,0,0,1,0,7,0,7,0
Uverify Backend,io.uverify.backend.dto,ExecuteUserActionResponse.ExecuteUserActionResponseBuilder,22,25,0,0,0,1,3,4,3,4
Uverify Backend,io.uverify.backend.dto,BootstrapData,338,167,78,0,0,31,44,23,5,23
Uverify Backend,io.uverify.backend.dto,UserState.UserStateBuilder,8,21,0,0,0,1,1,4,1,4
Uverify Backend,io.uverify.backend.dto,CertificateResponse,395,0,78,0,10,0,62,0,23,0
Uverify Backend,io.uverify.backend.dto,BuildTransactionRequest.BuildTransactionRequestBuilder,57,0,0,0,1,0,8,0,8,0
Uverify Backend,io.uverify.backend.dto,BuildTransactionResponse.BuildTransactionResponseBuilder,10,28,0,0,0,1,1,5,1,5
Uverify Backend,io.uverify.backend.dto,UserActionRequest,132,24,30,0,0,4,19,7,4,7
Uverify Backend,io.uverify.backend.dto,BuildTransactionRequest,222,38,46,0,2,7,29,11,6,11
Uverify Backend,io.uverify.backend.dto,BuildStatus.BuildStatusBuilder,12,16,0,0,0,1,2,3,2,3
Uverify Backend,io.uverify.backend.dto,BuildAndSubmitResponse,182,0,34,0,5,0,30,0,13,0
Uverify Backend,io.uverify.backend.dto,StateData,330,130,78,0,0,25,43,21,4,21
Uverify Backend,io.uverify.backend.dto,BuildStatus,107,19,22,0,1,3,17,4,6,4
Uverify Backend,io.uverify.backend.dto,BuildTransactionResponse,145,25,30,0,1,4,22,5,7,5
Uverify Backend,io.uverify.backend.dto,UsageStatistics,76,0,2,0,12,0,6,0,5,0
Uverify Backend,io.uverify.backend.dto,SubmitTransactionRequest,115,0,22,0,3,0,20,0,9,0
Uverify Backend,io.uverify.backend.dto,CertificateData,143,25,30,0,1,4,22,5,7,5
Uverify Backend,io.uverify.backend.dto,ExecuteUserActionRequest,288,59,64,0,0,9,36,17,4,17
Uverify Backend,io.uverify.backend.dto,ProxyInitResponse,184,31,38,0,2,6,25,9,6,9
Uverify Backend,io.uverify.backend.dto,UserActionResponse.UserActionResponseBuilder,23,51,0,0,0,1,2,8,2,8
Uverify Backend,io.uverify.backend.controller,CertificateController,38,10,4,0,8,4,5,1,3,1
Uverify Backend,io.uverify.backend.controller,StatisticsController,14,3,0,0,4,1,2,1,2,1
Uverify Backend,io.uverify.backend.controller,UVerifyTransactionController,61,86,8,12,14,18,8,5,1,2
Uverify Backend,io.uverify.backend.controller,UserStateController,75,30,12,2,16,6,7,3,0,3
Uverify Backend,io.uverify.backend.extension.validators.impl,SocialHubRedeemerData,33,0,0,0,9,0,7,0,7,0
Uverify Backend,io.uverify.backend.extension.validators.impl,ConnectedGoodsDatumItemData,24,0,0,0,7,0,6,0,6,0
Uverify Backend,io.uverify.backend.extension.validators.impl,ConnectedGoodsDatumData,24,0,0,0,7,0,6,0,6,0
Uverify Backend,io.uverify.backend.extension.validators.impl,SocialHubDatumData,24,0,0,0,7,0,6,0,6,0
Uverify Backend,io.uverify.backend.config,SecurityConfig,12,61,2,4,3,9,3,6,1,5
Uverify Backend,io.uverify.backend.config,CorsConfig,0,42,0,2,0,11,0,3,0,2
Uverify Backend,io.uverify.backend,UverifyApplication,5,3,0,0,2,1,1,1,1,1
Uverify Backend,io.uverify.backend.extension.entity,SocialHubEntity,84,363,3,5,6,67,23,32,20,31
Uverify Backend,io.uverify.backend.extension.entity,ConnectedGoodUpdateEntity.ConnectedGoodUpdateEntityBuilder,55,0,0,0,1,0,8,0,8,0
Uverify Backend,io.uverify.backend.extension.entity,SocialHubEntity.SocialHubEntityBuilder,82,126,0,0,0,1,8,17,8,17
Uverify Backend,io.uverify.backend.extension.entity,ConnectedGoodUpdateEntity,45,15,0,0,7,2,9,4,9,4
Uverify Backend,io.uverify.backend.extension.entity,ConnectedGoodEntity.ConnectedGoodEntityBuilder,47,0,0,0,1,0,7,0,7,0
Uverify Backend,io.uverify.backend.extension.entity,TadamonTransactionEntity,167,3,0,0,19,1,34,1,34,1
Uverify Backend,io.uverify.backend.extension.entity,ConnectedGoodEntity,28,22,0,0,5,3,5,6,5,6
Uverify Backend,io.uverify.backend.extension.entity,TadamonTransactionEntity.TadamonTransactionEntityBuilder,157,0,0,0,1,0,19,0,19,0
Uverify Backend,io.uverify.backend.model,ProxyDatum,151,36,22,0,13,8,22,3,11,3
Uverify Backend,io.uverify.backend.model,ProxyDatum.ProxyDatumBuilder,6,21,0,0,0,1,1,4,1,4
Uverify Backend,io.uverify.backend.model,StateRedeemer.StateRedeemerBuilder,8,21,0,0,0,1,1,4,1,4
Uverify Backend,io.uverify.backend.model,BootstrapDatum.BootstrapDatumBuilder,83,0,0,0,1,0,11,0,11,0
Uverify Backend,io.uverify.backend.model,UVerifyCertificate,37,312,8,12,9,64,6,22,0,18
Uverify Backend,io.uverify.backend.model,StateDatum,34,457,3,5,11,89,9,27,6,26
Uverify Backend,io.uverify.backend.model,StateRedeemer,0,122,1,3,0,25,1,10,0,9
Uverify Backend,io.uverify.backend.model,BootstrapDatum,124,493,1,1,27,98,3,26,2,26
Uverify Backend,io.uverify.backend.model,UVerifyCertificate.UVerifyCertificateBuilder,10,35,0,0,0,1,1,6,1,6
Uverify Backend,io.uverify.backend.model,ProxyRedeemer,0,15,0,0,0,3,0,1,0,1
Uverify Backend,io.uverify.backend.extension.service,TadamonGoogleSheetsService,552,0,38,0,125,0,30,0,11,0
Uverify Backend,io.uverify.backend.extension.service,TadamonService,356,0,28,0,78,0,22,0,8,0
Uverify Backend,io.uverify.backend.extension.service,ConnectedGoodsService,152,1091,17,27,34,232,18,31,5,22
Uverify Backend,io.uverify.backend.mapper,CertificateMapper,56,0,0,0,13,0,3,0,3,0
